Quarterperiodend,metro_restofstate,postcode,1BR_flats_count,1BR_flats_median$,2BR_flats_count,2BR_flats_median$,3BR_flats_count,3BR_flats_median$,4+BR_flats_count,4+BR_flats_median$,flats_unknown_count,flats_unknown_median$,total_flats_count,total_flats_median$,1BR_houses_count,1BR_houses_median$,2BR_houses_count,2BR_houses_median$,3BR_houses_count,3BR_houses_median$,4+BR_houses_count,4+BR_houses_median$,houses_unknown_count,houses_unknown_median$,total_houses_count,total_houses_median$,total_other_count,total_other_median$,total_all_count,total_all_median$
2018-03,Metro,5000,1126,299,387,450,75,500,*,500,27,420,1620,325,45,160,58,422.5,49,480,*,795,12,350,165,385,49,185,1835,325
2018-03,Metro,5006,22,300,60,350,22,450,0,,*,247.5,110,350,*,337.5,11,485,22,465,9,750,*,450,50,490,*,250,160,372.5
2018-03,Metro,5007,8,355,44,372.5,25,420,*,492.5,8,202,85,385,*,98.35,25,360,49,430,8,510,9,350,95,390,14,172.5,195,380
2018-03,Metro,5008,*,189,34,277.5,8,350,*,500,9,250,55,282.5,6,165,15,340,66,370,16,162.5,25,320,130,342.5,10,185,190,315
2018-03,Metro,5009,*,200,*,300,*,400,0,,*,250,5,275,0,,6,305,22,362.5,*,550,*,360,35,360,0,,40,340
2018-03,Metro,5010,*,270,6,267.5,*,340,0,,*,140,10,270,0,,*,305,26,350,*,475,*,342.5,35,360,0,,45,340
2018-03,Metro,5011,9,215,49,300,30,385,0,,7,265,95,325,*,242.5,21,330,76,395,*,400,9,300,110,375,*,267.15,205,350
2018-03,Metro,5012,*,237.5,42,256.5,14,362.5,0,,8,190,70,275,0,,111,154.1,28,350,*,415,20,287.5,160,197.6,*,152.5,230,225
2018-03,Metro,5013,7,210,45,101.5,*,290,0,,*,265.5,60,152.3,*,370,183,101.3,34,337.5,6,407.5,*,330,230,115.8,*,160,290,122.6
2018-03,Metro,5014,*,180,36,257.5,8,397.5,0,,*,215,50,260,*,180,10,330,34,350,0,,10,307.5,55,340,0,,105,305
2018-03,Metro,5015,19,295,24,352.5,*,377.5,0,,*,220,50,330,0,,11,370,36,405,*,400,*,327.5,50,385,0,,105,360
2018-03,Metro,5016,*,190,18,280,*,250.925,0,,0,,25,275,*,245,9,300,27,390,*,480,*,370,45,385,0,,70,322.5
2018-03,Metro,5017,*,210,*,285,*,290,0,,*,150,5,200,*,260,*,173.2,29,340,*,367.8,*,279.8,35,330,0,,40,325
2018-03,Metro,5018,0,,*,307.5,6,345,0,,0,,10,340,0,,0,,15,390,*,460,*,370,20,390,0,,30,377.5
2018-03,Metro,5019,*,210,37,300,8,410,0,,*,350,55,300,0,,*,330,27,430,*,435,*,270,40,400,*,162.5,95,350
2018-03,Metro,5020,*,280,*,355,*,385,*,400,0,,10,352.5,0,,0,,8,455,*,410,0,,10,450,0,,20,400
2018-03,Metro,5021,0,,11,360,9,420,0,,*,320,20,360,0,,9,305,12,460,8,600,*,450,30,442.5,*,210,55,375
2018-03,Metro,5022,6,230,72,300,11,450,0,,7,275,95,310,*,255,*,340,58,500,20,740,*,395,85,500,0,,185,400
2018-03,Metro,5023,*,230,42,260,19,400,0,,11,235,75,302.5,*,78.79,9,340,76,370,14,445,11,350,115,360,0,,185,350
2018-03,Metro,5024,10,230,46,290,10,400,0,,8,295,75,292.5,*,160,*,295.1,36,435,19,495,*,360,60,450,0,,135,360
2018-03,Metro,5025,0,,8,262.5,*,340,0,,*,200,10,262.5,0,,*,310,40,425,9,500,*,460,55,425,0,,65,410
2018-03,Metro,5031,7,190,26,280,14,435,0,,6,255,55,280,7,185,18,385,67,420,10,522.5,11,420,115,400,12,160,180,385
2018-03,Metro,5032,9,230,49,275,11,365,0,,14,280,85,275,0,,8,320,43,410,15,490,*,230,70,410,0,,155,330
2018-03,Metro,5033,12,195,35,275,6,380,0,,*,270,55,270,0,,14,360,54,400,*,450,*,300,75,400,*,170,135,330
2018-03,Metro,5034,10,217.5,65,300,15,450,*,570,9,345,100,310,0,,12,445,27,515,11,650,*,194.1,50,505,*,155,155,347.5
2018-03,Metro,5035,13,230,61,285,7,365,0,,*,224,80,280,*,325,*,370,19,420,*,560,*,405,30,420,*,177.5,115,300
2018-03,Metro,5037,17,215,48,280,15,400,0,,*,275,85,280,0,,8,342.5,44,427.5,12,455,6,420,70,427.5,13,180,165,320
2018-03,Metro,5038,17,220,109,275,15,305,0,,19,285,160,275,*,222.5,20,345,91,390,14,495,*,400,130,390,13,160,300,310
2018-03,Metro,5039,*,190,15,265,*,380,0,,*,222.5,25,260,*,235,*,280,35,410,6,480,*,130,50,400,*,140,80,337.5
2018-03,Metro,5040,0,,0,,0,,0,,0,,0,,0,,0,,*,422.5,*,625,*,380,5,425,0,,5,425
2018-03,Metro,5041,*,235,34,285,*,400,0,,*,234.7,45,280,*,200,7,350,30,425,17,450,*,320,60,425,*,170,110,330
2018-03,Metro,5042,*,210,66,268,*,307.5,0,,11,255,85,265,*,155,*,315,65,400,17,410,9,165,100,385,13,170,195,295
2018-03,Metro,5043,9,187,61,300,37,390,*,295,8,257.5,115,310,*,280,10,274.2,112,395,14,462.5,7,214.6,145,390,*,135,265,355
2018-03,Metro,5044,*,120,45,310,9,330,0,,*,300,60,310,*,160,*,500,43,450,11,650,6,447.5,65,450,*,160,125,350
2018-03,Metro,5045,44,295,165,310,27,460,*,565,11,280,250,312.5,*,292.5,15,410,35,500,7,765,*,325,65,460,0,,315,337.5
2018-03,Metro,5046,6,245,29,310,7,350,0,,9,145,50,295,*,160,8,377.5,54,420,7,520,*,445,75,420,*,150,130,375
2018-03,Metro,5047,*,277.5,*,285,13,365,0,,*,155,25,280,*,150,8,355,63,400,10,400,9,400,95,395,*,200,120,380
2018-03,Metro,5048,*,260,48,320,7,420,0,,*,295,65,320,*,250,12,372.5,70,410,14,565,*,410,100,410,13,170,180,375
2018-03,Metro,5049,*,200,12,322.5,6,399,0,,*,300,25,330,0,,*,370,31,420,7,570,8,350,50,410,*,160,75,385
2018-03,Metro,5050,*,280,*,295,0,,0,,*,220,5,285,0,,*,295,7,390,*,475,0,,10,395,13,160,30,280
2018-03,Metro,5051,0,,7,295,*,402.5,0,,*,245,10,297.5,*,210,*,350,17,400,9,520,0,,35,420,0,,45,395
